County,City,Model Year,Make,Model,Electric Vehicle Type,CAFV Status,Electric Range,Electric Utility,Vehicle Age
King,Redmond,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Kent,2025,HONDA,PROLOGUE,BEV,,,Puget Sound Energy,1
King,Maple Valley,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
King,Seattle,2019,BMW,I3,BEV,Eligible,153.0,City Of Seattle,7
King,Des Moines,2021,TESLA,MODEL Y,BEV,,,Puget Sound Energy,5
King,Seattle,2024,FORD,MUSTANG MACH-E,BEV,,,City Of Seattle,2
King,Seattle,2023,GENESIS,GV60,BEV,,,City Of Seattle,3
Thurston,Olympia,2017,TESLA,MODEL S,BEV,Eligible,210.0,Puget Sound Energy,9
King,Seattle,2019,TESLA,MODEL 3,BEV,Eligible,220.0,City Of Seattle,7
Yakima,Yakima,2023,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Pacificorp,3
King,Maple Valley,2025,FORD,F-150,BEV,,,Puget Sound Energy,1
King,Sammamish,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Bothell,2020,TESLA,MODEL X,BEV,Eligible,293.0,Puget Sound Energy,6
King,Redmond,2021,TESLA,MODEL 3,BEV,,,Puget Sound Energy,5
King,Kirkland,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Auburn,2021,VOLKSWAGEN,ID.4,BEV,,,Puget Sound Energy,5
King,Sammamish,2021,TESLA,MODEL 3,BEV,,,Puget Sound Energy,5
King,Issaquah,2026,TESLA,MODEL Y,BEV,,,Puget Sound Energy,0
King,Renton,2017,CHEVROLET,VOLT,PHEV,Eligible,53.0,Puget Sound Energy,9
Kitsap,Suquamish,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Sammamish,2023,VOLKSWAGEN,ID.4,BEV,,,Puget Sound Energy,3
Clark,Camas,2015,NISSAN,LEAF,BEV,Eligible,84.0,Bonneville Power Administration,11
Klickitat,White Salmon,2022,TESLA,MODEL Y,BEV,,,Bonneville Power Administration,4
King,Sammamish,2023,HYUNDAI,IONIQ 6,BEV,,,Puget Sound Energy,3
King,Medina,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Duvall,2017,SMART,FORTWO,BEV,Eligible,58.0,Puget Sound Energy,9
King,Covington,2023,CHEVROLET,BOLT EV,BEV,,,Puget Sound Energy,3
Snohomish,Bothell,2021,TESLA,MODEL Y,BEV,,,Puget Sound Energy,5
King,Clyde Hill,2026,TESLA,MODEL Y,BEV,,,Puget Sound Energy,0
King,Seattle,2023,TESLA,MODEL Y,BEV,,,City Of Seattle,3
King,Kent,2025,TESLA,MODEL 3,BEV,,,Puget Sound Energy,1
King,Seattle,2016,AUDI,A3,PHEV,Not Eligible (Low Range),16.0,City Of Seattle,10
King,Duvall,2024,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,42.0,Puget Sound Energy,2
King,Maple Valley,2021,TESLA,MODEL Y,BEV,,,Puget Sound Energy,5
King,Bellevue,2023,GENESIS,GV60,BEV,,,Puget Sound Energy,3
King,Sammamish,2025,VOLVO,EX90,BEV,,,Puget Sound Energy,1
King,Covington,2022,LINCOLN,CORSAIR,PHEV,Not Eligible (Low Range),28.0,Puget Sound Energy,4
King,Sammamish,2020,TESLA,MODEL 3,BEV,Eligible,322.0,Puget Sound Energy,6
King,Sammamish,2022,TESLA,MODEL Y,BEV,,,Puget Sound Energy,4
King,Redmond,2022,TESLA,MODEL Y,BEV,,,Puget Sound Energy,4
Clark,Washougal,2013,NISSAN,LEAF,BEV,Eligible,75.0,Bonneville Power Administration,13
King,Sammamish,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Bellevue,2022,TESLA,MODEL Y,BEV,,,Puget Sound Energy,4
Clark,Vancouver,2020,TESLA,MODEL X,BEV,Eligible,293.0,Bonneville Power Administration,6
Cowlitz,Woodland,2024,TESLA,MODEL 3,BEV,,,Bonneville Power Administration,2
King,Renton,2021,VOLVO,XC40,BEV,,,Puget Sound Energy,5
Clallam,Sequim,2014,FORD,FUSION,PHEV,Not Eligible (Low Range),19.0,Bonneville Power Administration,12
Snohomish,Everett,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
Clark,Vancouver,2017,TOYOTA,PRIUS PRIME (PHEV),PHEV,Not Eligible (Low Range),25.0,Bonneville Power Administration,9
Cowlitz,Longview,2021,FORD,MUSTANG MACH-E,BEV,,,Bonneville Power Administration,5
King,Maple Valley,2024,TESLA,MODEL 3,BEV,,,Puget Sound Energy,2
King,Sammamish,2023,TESLA,MODEL 3,BEV,,,Puget Sound Energy,3
King,Sammamish,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Seattle,2025,KIA,SPORTAGE,PHEV,Eligible,34.0,City Of Seattle,1
King,Kent,2023,TESLA,MODEL 3,BEV,,,Puget Sound Energy,3
Kitsap,Poulsbo,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Seattle,2022,NISSAN,LEAF,BEV,,,City Of Seattle,4
Kitsap,Port Orchard,2025,JEEP,WAGONEER S,BEV,,,Puget Sound Energy,1
King,Issaquah,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Renton,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Sammamish,2021,FORD,MUSTANG MACH-E,BEV,,,Puget Sound Energy,5
King,Seattle,2021,TESLA,MODEL Y,BEV,,,City Of Seattle,5
King,Seattle,2025,BMW,I4,BEV,,,City Of Seattle,1
King,Snoqualmie,2022,TESLA,MODEL 3,BEV,,,Puget Sound Energy,4
King,Mercer Island,2024,ROLLS-ROYCE,SPECTRE,BEV,,,Puget Sound Energy,2
King,Seattle,2013,NISSAN,LEAF,BEV,Eligible,75.0,City Of Seattle,13
Thurston,Olympia,2024,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,42.0,Puget Sound Energy,2
Kitsap,Port Orchard,2023,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Puget Sound Energy,3
King,Issaquah,2021,BMW,330E,PHEV,Not Eligible (Low Range),22.0,Puget Sound Energy,5
King,Sammamish,2023,FORD,F-150,BEV,,,Puget Sound Energy,3
King,Issaquah,2023,AUDI,Q5 E,PHEV,Not Eligible (Low Range),23.0,Puget Sound Energy,3
Snohomish,Bothell,2023,GENESIS,GV60,BEV,,,Puget Sound Energy,3
Clark,Vancouver,2012,NISSAN,LEAF,BEV,Eligible,73.0,Bonneville Power Administration,14
King,Seattle,2021,TESLA,MODEL 3,BEV,,,City Of Seattle,5
King,Seattle,2013,NISSAN,LEAF,BEV,Eligible,75.0,City Of Seattle,13
Clark,Yacolt,2024,TESLA,MODEL Y,BEV,,,Bonneville Power Administration,2
King,Seattle,2020,TESLA,MODEL 3,BEV,Eligible,266.0,City Of Seattle,6
King,Seattle,2023,RIVIAN,R1S,BEV,,,City Of Seattle,3
King,Clyde Hill,2023,MERCEDES-BENZ,EQE-CLASS SUV,BEV,,,Puget Sound Energy,3
King,Sammamish,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Bellevue,2022,FORD,MUSTANG MACH-E,BEV,,,Puget Sound Energy,4
Clark,Vancouver,2021,TESLA,MODEL Y,BEV,,,Bonneville Power Administration,5
Snohomish,Everett,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
King,Black Diamond,2012,TOYOTA,PRIUS,PHEV,Not Eligible (Low Range),6.0,Puget Sound Energy,14
King,Sammamish,2022,TESLA,MODEL Y,BEV,,,Puget Sound Energy,4
King,Covington,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Seattle,2018,HONDA,CLARITY,PHEV,Eligible,47.0,City Of Seattle,8
King,Mercer Island,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
Clark,Camas,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Bonneville Power Administration,8
King,Seattle,2023,NISSAN,ARIYA HATCHBACK,BEV,,,City Of Seattle,3
King,Shoreline,2018,KIA,SOUL,BEV,Eligible,111.0,City Of Seattle,8
King,Federal Way,2025,LEXUS,RZ,BEV,,,Puget Sound Energy,1
King,Kent,2023,KIA,NIRO,PHEV,Eligible,33.0,Puget Sound Energy,3
King,Seattle,2019,NISSAN,LEAF,BEV,Eligible,150.0,City Of Seattle,7
King,Des Moines,2020,KIA,NIRO,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,6
King,Sammamish,2023,BMW,X5,PHEV,Eligible,30.0,Puget Sound Energy,3
Kitsap,Poulsbo,2022,NISSAN,LEAF,BEV,,,Puget Sound Energy,4
King,Kirkland,2022,TESLA,MODEL Y,BEV,,,Puget Sound Energy,4
Thurston,Olympia,2025,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,42.0,Puget Sound Energy,1
King,Seattle,2022,TESLA,MODEL Y,BEV,,,City Of Seattle,4
King,Covington,2024,TESLA,MODEL S,BEV,,,Puget Sound Energy,2
King,Bellevue,2025,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,,,Puget Sound Energy,1
Clark,Vancouver,2026,TESLA,MODEL Y,BEV,,,Bonneville Power Administration,0
King,Seattle,2022,TESLA,MODEL Y,BEV,,,City Of Seattle,4
King,Auburn,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
Kitsap,Seabeck,2024,MAZDA,CX-90,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,2
Kitsap,Port Orchard,2016,TESLA,MODEL S,BEV,Eligible,210.0,Puget Sound Energy,10
King,Renton,2012,TOYOTA,PRIUS,PHEV,Not Eligible (Low Range),6.0,Puget Sound Energy,14
King,Bellevue,2023,TESLA,MODEL 3,BEV,,,Puget Sound Energy,3
King,Redmond,2026,KIA,EV9,BEV,,,Puget Sound Energy,0
King,Renton,2025,KIA,EV6,BEV,,,Puget Sound Energy,1
